"Qty","Value","Device","Parts",
"1","0.03R/1%","R-EU_R1206_5MIL_WS","R59",
"4","0R(Board_Mounted)","R_0R0R(NA)","R24, R34, R69, R87",
"2","1.1k/1%","R-EU_R0603_5MIL_DWS","R90, R92",
"2","1N5819(S4SOD-123)","SCHOTKKY7.62SS-1N5819(S4SOD-123)","D1, D3",
"3","1N5822/SS34/SMA","SCHOTKKY7.62SS2","D2, D4, D6",
"12","1R","R-EU_R0603_5MIL_DWS","R3, R31, R51, R53, R60, R62, R63, R66, R68, R71, R72, R74",
"8","1nF","C-EUC0603_DWS","C127, C129, C131, C132, C160, C165, C182, C218",
"1","1nF/2kV/X7R/1206","C-EUC1206_5MILS_WS_ISO","C95",
"7","1uF/6.3V","C-EUC0603_DWS","C73, C91, C110, C150, C167, C172, C174",
"21","2.2k/1%","R-EU_R0603_5MIL_DWS","R1, R2, R4, R6, R8, R32, R37, R39, R57, R65, R70, R73, R75, R76, R81, R82, R83, R86, R93, R94, R120",
"3","2.2uF/6.3V","C-EUC0603_DWS","C234, C236, C239",
"6","2.2uF/50V","C-EUC0805_5MIL_DWS","C202, C203, C241, C242, C243, C244",
"6","2.2uH/NR3015T2R2M/1.5A/3015","L-CD32","L12, L13, L14, L18, L20, L21",
"1","3.3nF","C-EUC0603_DWS","C163",
"2","3.9k/1%","R-EU_R0603_5MIL_DWS","R48, R55",
"7","4.7uF/6.3V","C-EUC0603_DWS","C146, C149, C158, C178, C179, C180, C187",
"4","4.99k/1%","R-EU_R0603_5MIL_DWS","R42, R61, R89, R138",
"1","6.81k/1%","R-EU_R0603_5MIL_DWS","R96",
"2","8.25k/1%","R-EU_R0603_5MIL_DWS","R88, R97",
"1","10M","R-EU_R0402_TI","R139",
"16","10k","R-EU_R0603_5MIL_DWS","R10, R20, R30, R33, R38, R44, R46, R47, R54, R98, R105, R136, R137, R144, R145, R152",
"4","10nF","C-EUC0402_TI","C140, C141, C142, C143",
"14","10uF/6.3V","C-EUC0603_DWS","C112, C113, C121, C128, C136, C147, C148, C151, C152, C156, C159, C162, C164, C166",
"1","11k/1%","R-EU_R0603_5MIL_DWS","R99",
"1","12.1k/1%","R-EU_R0603_5MIL_DWS","R140",
"4","13k/1%","R-EU_R0603_5MIL_DWS","R45, R78, R80, R100",
"1","15uH/YS75","LLQH88PN100M38","L19",
"2","16.2k/1%","R-EU_R0603_5MIL_DWS","R77, R101",
"1","22.1k/1%","R-EU_R0603_5MIL_DWS","R102",
"8","22R","R-EU_R0402_TI","R118, R119, R133, R134, R135, R146, R147, R148",
"2","22pF/50V/5%/COG/C0603","C-EUC0603_DWS","C97, C98",
"33","22uF/6.3V","C-EUC0603_DWS","C13, C56, C65, C66, C96, C101, C103, C104, C105, C109, C115, C133, C138, C157, C168, C173, C186, C190, C193, C194, C198, C199, C204, C205, C206, C207, C209, C210, C211, C212, C216, C219, C220",
"1","27k","R-EU_R0603_5MIL_DWS","R110",
"6","33pF","C-EUC0603_DWS","C75, C76, C99, C100, C195, C208",
"6","47k","R-EU_R0603_5MIL_DWS","R27, R28, R52, R84, R95, R111",
"13","47uF/6.3V","C-EUC0805_5MIL_DWS","C123, C126, C135, C145, C217, C222, C223, C240, C245, C246, C247, C248, C249",
"8","49.9R/1%","R-EU_R0603_5MIL_DWS","R25, R43, R58, R103, R141, R142, R143, R149",
"7","100k/1%","R-EU_R0603_5MIL_DWS","R11, R17, R29, R40, R85, R91, R108",
"15","100nF","C-EUC0603_DWS","C64, C67, C72, C74, C92, C94, C122, C124, C125, C161, C170, C171, C176, C200, C221",
"1","150pF","C-EUC0603_DWS","C201",
"1","191R/1%","R-EU_R0603_5MIL_DWS","R64",
"3","200k/1%","R-EU_R0603_5MIL_DWS","R36, R56, R67",
"48","220nF","C-EUC0402_TI","C2, C3, C5, C7, C10, C11, C14, C15, C18, C19, C21, C22, C23, C24, C25, C26, C27, C57, C59, C60, C61, C62, C68, C69, C70, C77, C78, C79, C80, C82, C83, C84, C85, C86, C87, C102, C106, C134, C139, C155, C169, C175, C184, C189, C191, C235, C237, C238",
"55","220nF","C-EUC0603_DWS","C1, C4, C6, C8, C9, C12, C16, C17, C20, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C58, C81, C111, C114, C117, C118, C119, C120, C177, C224, C225, C226, C227, C228, C229, C230, C231, C232",
"7","330R/1%","R-EU_R0603_5MIL_DWS","R7, R9, R16, R41, R104, R150, R151",
"2","470nF","C-EUC0603_DWS","C192, C196",
"1","AP1231-2.5V(SOT23-5)","AP1231-33","VR1",
"1","AT24C16BN-SH(SOIC-8)","24LCXX","U6",
"1","AXP209(QFN48)","AXP209","U12",
"1","BC846B(SOT23-3)","NPN-TRANSISTOR_SOT23","T1",
"3","BSS138(SOT23-3)","N-MOS+DIODBSS138(SOT23-3)","FET2, FET3, FET5",
"1","Closed","SJSJ_1_SMALLER_CLOSE_10MILS","NAND_E",
"1","DW02R","CON2DW02R","LIPO_BAT",
"1","DW02S","CON2DW02S","5V_SATA_PWR",
"10","FB0805/600R/2A","L-USL0805_5MIL_DWS","L1, L4, L5, L6, L7, L11, L15, L16, L17, L22",
"6","FIDUCIAL","FIDUCIAL","U4, U5, U18, U19, U20, U21",
"1","FSMD035","FUSE","FUSE1",
"2","GBH-254-SMT-10","ML10-(GBH-254-SMT-10)_TEST","UEXT1, UEXT2",
"4","GBH-254-SMT-40","ML40-GBH-254-SMT-40_TEST","GPIO-1, GPIO-2, GPIO-3, LCD_CON",
"1","HDMI-SWM-19","HDMI-MC34931HDMI-SWM-19","HDMI",
"1","HN1X4","CON4HN1X4","UART0",
"2","IRLML6402(SOT23-3)","P-MOS+DIODIRLML6402","FET1, FET4",
"1","LAN8710AI-EZK-TR(QFN-32)","LAN8710A-EZC","U7",
"1","LED/GREEN/0603","LEDLED-0603_TEST","LED1",
"1","LED/RED/0603","LEDLED-0603_TEST","PWR_LED",
"1","LED/YELLOW/0603","LEDLED-0603_TEST","CHGLED",
"1","MICRO_SD/TFC-WPAPR-08","MICRO_SD/MMC_CP_NEWTFC-WPAPR-08","SD/MMC1",
"1","MP1584EN(SOIC8E)","MP1584EN(SOIC8E)","U14",
"2","MT41K256M16HA-125IT:E(DDR3L-1600_11-11-11)","H5TQ2G63BFR_MEM4G16D3EABG-125PHIS","U2, U3",
"1","MT3608(SOT23-6)","SY7208","U16",
"1","MTFC4GACAANA-4M_IT(TBGA100)","MTFC4GACAANA-4MIT","U24",
"4","NA","C-EUC0402_TI","C107, C108, C153, C154",
"5","NA","C-EUC0603_DWS","C71, C181, C183, C185, C188",
"1","NA","C-EUC1206_5MILS_WS_ISO","C93",
"2","NA","R-EU_R0402_SMALL","R12, R15",
"6","NA","R-EU_R0603_5MIL_DWS","R5, R22, R23, R49, R50, R153",
"11","NA(0R)","R-EU_R0402_TI","R122, R123, R124, R125, R126, R127, R128, R129, R130, R131, R132",
"1","NA(0R)","R-EU_R0603_5MIL_DWS","R35",
"2","NA(2.2k/1%)","R-EU_R0603_5MIL_DWS","R13, R14",
"2","NA(2.2uF)","C-EUC0603_DWS","C116, C144",
"3","NA(2.2uF/6.3V)","C-EUC0603_DWS","C251, C253, C255",
"11","NA(10k)","R-EU_R0603_5MIL_DWS","R18, R19, R21, R26, R112, R113, R115, R116, R117, R121, R154",
"1","NA(10uF/6.3V)","C-EUC0603_DWS","C63",
"1","NA(22R)","R-EU_R0402_TI","R114",
"5","NA(22uF/6.3V)","C-EUC0603_DWS","C197, C213, C214, C215, C256",
"1","NA(47k)","R-EU_R0603_5MIL_DWS","R109",
"2","NA(47uF/6.3V)","C-EUC0805_5MIL_DWS","C130, C137",
"1","NA(100k/1%)","R-EU_R0603_5MIL_DWS","R79",
"4","NA(100nF)","C-EUC0603_DWS","C88, C89, C90, C233",
