"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"LCD_CON1";"FPV-WZA21-40-LF";1;"FPV-WZA21-40-LF";;;
2;"USB1";"USB_A_VERTICAL_PTH";1;"USB_A_VERTICAL";;;
3;"HDMI1";"HDMI-SWM-19";1;"HDMI-SWM-19";;;
4;"U5";"TBGA100";1;"MTFC4GACAANA-4M_IT(TBGA100)";;;
5;"Mounting_hole1";"Mounting_hole_3.3mm_with_5.5mm_pad";1;"Mounting_hole";;;
6;"PWRLED1,GPIO_LED1";"LED_0603_KA";2;"LED/Red/0603";;;
7;"L16";"YS75_7X8MM";1;"2.2uH/3A/YS75/7x8";;;
8;"RM9,RM7,RM12";"RA1206_(4X0603)_4B8_xx";3;"RA1206_(4x0603)_4B8_100k";;;
9;"C187,C48,C62,C105,C185,C84,C85";"C_0402_5MIL_DWS";7;"33pF/50V/5%";;;
10;"R93";"R_0402_5MIL_DWS";1;"10M";;;
11;"C91,C5,C10,C16,C21,C26,C42,C47,C49,C53,C54,C57,C59,C63,C89,C116,C121,C122,C124,C125,C126,C128,C129,C131,C133,C136,C138,C139,C140,C141,C143,C144,C145,C146,C147,C148,C149,C150,C151,C152,C153,C154,C157,C159,C161,C162,C164,C165,C166,C167,C168,C169,C170,C171,C172,C173,C175,C176,C178,C179,C188,C192,C194";"C_0603_5MIL_DWS";63;"10uF/6.3V/20%";;;
12;"R46";"R_0402_5MIL_DWS";1;"27k";;;
13;"T1";"DFN2x2-6L";1;"WPM1481-6/TR(DFN2X2-6L)";;;
14;"";"LOGO_ROHS_1";1;"";;;
15;"RM2,RM5,RM3,RM14";"RA0805_(4X0402)_xx";4;"RA0805_(4X0402)_22R";;;
16;"RM4,RM1";"RA1206_(4X0603)_4B8_xx";2;"RA1206_(4X0603)_4B8_10k";;;
17;",,,,,";"Fiducial1x3_transp";6;"";;;
18;"5V_E1,HSIC_E1";"SJ";2;"Opened";;;
19;"C1,C2,C3,C4,C6,C7,C8,C9,C11,C12,C13,C14,C15,C17,C18,C19,C20,C22,C23,C24,C25,C28,C29,C30,C31,C32,C33,C34,C35,C37,C44,C46,C50,C51,C52,C58,C60,C65,C66,C67,C72,C73,C74,C79,C80,C90,C92,C109,C110,C115,C117,C123,C127,C130,C132,C134,C155,C156,C158,C177,C186,C189,C191,C195,C197,C199,C200,C203,C206,C207,C208,C209,C210,C215,C216,C217,C45,C82,C83,C86,C87";"C_0402_5MIL_DWS";81;"100nF/10V/10%";;;
20;"C27,C38,C43,C55,C120,C135,C137,C142,C160,C163,C181,C182,C190,C211";"C_0603_5MIL_DWS";14;"1uF/10V/10%";;;
21;"C36,C204,C205,C214,C218,C219";"C_0603_5MIL_DWS";6;"22uF/6.3V/20%";;;
22;"C39,C40,C41,C81";"C_0402_5MIL_DWS";4;"NA(100nF/10V/10%)";;;
23;"C56,C61";"C_0603_5MIL_DWS";2;"2.2uF/6.3V/10%";;;
24;"C64,C68,C71,C75,C78,C118,C119,C180,C201,C202";"C_0805_5MIL_DWS";10;"47uF/6.3V/20%";;;
25;"C69,C70,C76,C77";"C_0805_5MIL_DWS";4;"NA(47uF/6.3V/20%)";;;
26;"C106,C107,C198";"C_0402_5MIL_DWS";3;"NA";;;
27;"C174";"C_0603_5MIL_DWS";1;"NA(110uF/6.3V/20%)";;;
28;"C183,C184";"C_0402_5MIL_DWS";2;"10pF/50V/5%";;;
29;"C193";"C_0402_5MIL_DWS";1;"NA(1nF/50V/10%)";;;
30;"D2,D3";"SMA-KA";2;"1N5822/SS34/SMA";;;
31;"D4";"SOD-123_1C-2A_KA";1;"1N5819(S4SOD-123)";;;
32;"FET1";"SOT23";1;"BSS138(SOT23-3)";;;
33;"FET2";"SOT23";1;"IRLML6402(SOT-23)";;;
34;"FUSE1";"FUSE-1206";1;"FSMD035";;;
35;"FUSE2";"FUSE-5025";1;"NA(5025)";;;
36;"L1,L2,L3,L4,L5,L6,L8,L21,L23,L24";"L_0805_5MIL_DWS";10;"FB0805/600R/2A";;;
37;"NAND_E1";"SJ";1;"Unsoldered";;;
38;"Q2";"MC306-HS";1;"MC-306_32.768KHZ/12.5pF/20ppm/SMD_8038";;;
39;"Q3";"Q5x3.25";1;"4SB24.000F20E15/5x3.2mm/20ppm/20pF";;;
40;"R2";"R_0402_5MIL_DWS";1;"100R/1%";;;
41;"R3,R4,R33,R54,R100,R105,R109,R63,R64,R65";"R_0402_5MIL_DWS";10;"22R";;;
42;"R18";"R_0402_5MIL_DWS";1;"NA(22R)";;;
43;"R39,R43,R44,R45";"R_0402_5MIL_DWS";4;"NA(510R)";;;
